episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,0.3225207608931212,2.691168039513477,-84.01670085873778,15.0,0.6,3,0.0,False,True,0.6064749123327351,1,23.11822180235112,6.673,prepare,0.0
0,2.0,0.32249722469909003,2.691372917274125,-84.00607495570645,15.0,0.6,3,1.0,False,True,0.6055829085685216,1,23.11822180235112,6.735,in_progress,0.0
0,3.0,0.32303453112932057,2.68259876746662,-84.1081915853863,15.0,0.6,3,1.0,False,True,0.6435715070167108,1,23.11822180235112,6.804,in_progress,0.0
0,4.0,0.32640449820727024,2.6610656182508907,-83.85032008383969,30.0,0.6,4,1.0,False,True,0.7377859172570065,1,23.11822180235112,6.861,in_progress,0.0
0,5.0,0.33139724105383744,2.6369908010297918,-83.34242726942982,30.0,0.6,4,1.0,False,True,0.8439286572198184,1,23.11822180235112,6.93,in_progress,0.0
0,6.0,0.3474139588544862,2.5907614669056014,-80.84429164864494,15.0,0.6,3,1.0,False,True,1.051669834983163,2,23.11822180235112,7.0,in_progress,0.0
0,7.0,0.3632319083991308,2.5520346260888456,-78.61096389082948,30.0,0.6,4,1.0,False,True,1.2271613612029042,2,23.11822180235112,7.075,in_progress,0.0
0,8.0,0.38212121333452365,2.5134170551898634,-76.07945087175857,30.0,0.6,4,1.0,False,True,1.4105833365842708,2,23.11822180235112,7.139,in_progress,0.0
0,9.0,0.40500243165748395,2.47517751836262,-73.00870530633243,30.0,0.6,4,1.0,False,True,1.59144781738621,2,23.11822180235112,7.193,in_progress,0.0
0,10.0,0.42826305043622476,2.4423900884277656,-70.00612296617527,0.0,0.6,2,1.0,False,True,1.7494394664136799,3,23.11822180235112,7.265,in_progress,0.0
0,11.0,0.4625559350029428,2.399002241464148,-66.03150228029486,-30.0,0.6,0,1.0,False,True,1.9772210657880307,3,23.11822180235112,7.336,in_progress,0.0
0,12.0,0.492948082159514,2.3608107731893555,-63.16859339027235,0.0,0.6,2,0.5,False,True,2.167716144470443,3,23.11822180235112,7.402,in_progress,0.0
0,13.0,0.5216468497658795,2.324318177884388,-61.07333729152354,0.0,0.6,2,0.5,False,True,2.349405884478478,4,23.11822180235112,7.469,in_progress,0.0
0,14.0,0.5462013192035914,2.291201726476653,-59.820468254187425,0.0,0.6,2,0.5,False,True,2.512840446142064,4,23.11822180235112,7.531,in_progress,0.0
0,15.0,0.5776776867690273,2.252832304551152,-57.98274955388895,0.0,0.6,2,0.5,False,True,2.73156959462979,4,23.11822180235112,7.602,in_progress,0.0
0,16.0,0.6068581726820012,2.216804179688115,-56.68025994665632,30.0,0.6,4,0.5,False,True,2.914814720238565,4,23.11822180235112,7.66,in_progress,0.0
0,17.0,0.6332019076413394,2.1891267666712464,-55.071806863555125,0.0,0.6,2,0.5,False,True,3.059991689504395,5,23.11822180235112,7.741,in_progress,0.0
0,18.0,0.6683206052761113,2.1558196497801534,-52.82311221565862,0.0,0.6,2,0.5,False,True,3.238530852372559,5,23.11822180235112,7.797,in_progress,0.0
0,19.0,0.6971453093791872,2.127283525371182,-51.56718246394095,0.0,0.6,2,0.5,False,True,3.4475675235424457,5,23.11822180235112,7.861,in_progress,0.0
0,20.0,0.7204285611338057,2.1036348494399704,-50.72779263540707,0.0,0.6,2,0.5,False,True,3.576041946755267,5,23.11822180235112,7.927,in_progress,0.0
0,21.0,0.7616040354680971,2.065761023821687,-48.92120841092377,0.0,0.6,2,0.1,False,True,3.7870078428025993,6,23.11822180235112,7.99,in_progress,0.0
0,22.0,0.7896071373037556,2.0398004342600933,-47.98494713422556,0.0,0.6,2,0.1,False,True,4.033589259049235,6,23.11822180235112,8.072,in_progress,0.0
0,23.0,0.8284163257914757,2.0068722195474615,-46.412957708728854,0.0,0.6,2,0.1,False,True,4.229270643431851,6,23.11822180235112,8.131,in_progress,0.0
0,24.0,0.8548442287055522,1.9845056678812962,-45.55540936068368,0.0,0.6,2,0.1,False,True,4.362297579373471,7,23.11822180235112,8.198,in_progress,0.0
0,25.0,0.8909544899558163,1.951976376440983,-44.915653633842126,0.0,0.6,2,0.1,False,True,4.691501426635424,7,23.11822180235112,8.262,in_progress,0.0
0,26.0,0.9210507261616275,1.926180692138222,-44.20157057269759,0.0,0.6,2,0.1,False,True,4.850482490678203,7,23.11822180235112,8.342,in_progress,0.0
0,27.0,0.9591653507084634,1.8934339365348138,-43.490645645633464,-15.0,0.6,1,0.1,False,True,5.052121363217131,8,23.11822180235112,8.408,in_progress,0.0
0,28.0,0.9921539168953157,1.8632009858867207,-43.288829077462694,-15.0,0.6,1,0.1,False,True,5.407004881336897,8,23.11822180235112,8.466,in_progress,0.0
0,29.0,1.0200094771556483,1.8370344704674157,-43.30905790016783,-15.0,0.6,1,0.1,False,True,5.567481068162409,9,23.11822180235112,8.537,in_progress,0.0
0,30.0,1.0517518357869684,1.8026660880790262,-44.057474661161635,0.0,0.6,2,0.1,False,True,6.001428029238652,9,23.11822180235112,8.603,in_progress,0.0
0,31.0,1.079124113757884,1.7719451108383577,-44.794307533166126,-15.0,0.6,1,0.1,False,True,6.1793361824718245,9,23.11822180235112,8.66,in_progress,0.0
0,32.0,1.106915097647065,1.7392901732551616,-45.633117026797514,30.0,0.6,4,0.1,False,True,6.364813546735126,10,23.11822180235112,8.731,in_progress,0.0
0,33.0,1.1343489578860988,1.7090894307423241,-45.98798069014751,0.0,0.6,2,0.1,False,True,6.866461399836929,11,23.11822180235112,8.792,in_progress,0.0
